handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_e006d459-0f11-ac03-105e-85b1c50abe6b,Product,El Mordjene Roasted Hazelnut Cream (Creme de Noisettes Grilles),"<p>- Discover the delicious El Mordjene Roasted Hazelnut Cream (Creme de Noisettes Grilles). - It's GLUTEN FREE and PRESERVATIVE FREE. - Comes in a large 700g jar. - This special treat from Algeria is: - Rare and highly sought-after - BANNED IN the EU, making it unique. - DIRECT IMPORT AND DISTRIBUTION by La Vague Imports ensures it's genuine. - Perfect for lovers of rare, high-quality foods. - A great addition to your gourmet pantry. - Enjoy the rich, nutty flavor that only El Mordjene offers.</p><p>&nbsp;</p><p>WHOLESALE 6 in a case</p>",68c626_1a4ab5d5e6d54713a30326203defcf58~mv2.png,Algerian Products,,HOT ITEM,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0ac25b8d-894d-d912-b5aa-b2d4ef974182,Product,El Mordjene Roasted Hazelnut Cream (Creme de Noisettes Grilles),"<p>- Discover the delicious El Mordjene Roasted Hazelnut Cream (Creme de Noisettes Grilles). - It's GLUTEN FREE and PRESERVATIVE FREE. - Comes in a large 700g jar. - This special treat from Algeria is: - Rare and highly sought-after - BANNED IN the EU, making it unique. - DIRECT IMPORT AND DISTRIBUTION by La Vague Imports ensures it's genuine. - Perfect for lovers of rare, high-quality foods. - A great addition to your gourmet pantry. - Enjoy the rich, nutty flavor that only El Mordjene offers.</p><p>&nbsp;</p><p>WHOLESALE 6 in a case</p>",68c626_1a4ab5d5e6d54713a30326203defcf58~mv2.png,Best Sellers,,Almost Gone,42.95,,true,PERCENT,0.0,InStock,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOEV2,Product,Extra Virgin Olive Oil El Ouazzania 2l,- Experience the rich taste of Extra Virgin Olive Oil El Ouazzania 2L   - Case size: 6 bottles of 2 liters each  - Available at La Vague Imports  - High-quality oil enhances your dishes  - Offers true flavors that demonstrate our commitment to quality- With La Vague Imports:  - Get top products  - Enjoy a simple online shopping experience  - Perfect for home and professional use  - Enjoy a healthier lifestyle with each drop- Our wholesale service offers the best value for your needs,acbaa7_8eb27fad8e514e23a93188a0c5ac4710~mv2.jpg,Best Sellers;Olive Oil El Ouazzania;Wholesale Orders;ECOM,HOEV2,Top Rated,59.95,,true,AMOUNT,5.0,InStock,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOV2,Product,Virgin Olive Oil El Ouazzania 2l,2l X 12,68c626_fbfbfd1d12b14d7bb51383f3a152268e~mv2.png;68c626_382df8046c764e45b0f57dcef984b7c0~mv2.png,Best Sellers;Olive Oil El Ouazzania;Wholesale Orders;ECOM,HOV2,Top Rated,54.95,,true,AMOUNT,5.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVSB125G,Product,Green Tea Sultan Baroud 100 G,100g X 120,acbaa7_9195675cd77c4cfbb210761892f7a2ed~mv2.jpg,Teas;Wholesale Orders,TVSB125G,Top Rated,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVSB200G,Product,Green Tea Sultan Baroud 200 G,200g X 60,68c626_2ae52be2516e4619b12443ee6373c93e~mv2.jpg,Teas;Wholesale Orders,TVSB200G,Top Rated,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABACSF1,Product,Couscous Fine AMOR BEN AMOR,1Kg x 12,68c626_e8daec3d4d9747c9b1b91ebaa367798d~mv2.jpg,Algerian Products;Wholesale Orders,ABACSF1,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM84,Product,COCO Noura Charcoal 84 Cube,1kg * 20,68c626_724887f473e84ad1aebc4755056a2f7a~mv2.png,COCO Noura Charcoal;Wholesale Orders,CM84,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN96,Product,COCO Noura Charcoal 96 Shards,1kg * 20,68c626_35271b9600c14365b6bfb84c2e779848~mv2.png,COCO Noura Charcoal;Wholesale Orders,CN96,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGS2L,Product,Selecto Drink,2l X 6,68c626_2b051f392488499e9d7609c18337c018~mv2.jpg,Drinks;Wholesale Orders,BGS2L,Top Rated,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
